batting_team,bowling_team,venue,season,target,over,runs_scored,wickets_lost,runs_needed,balls_left,crr,rrr,result
Royal Challengers Bangalore,Kolkata Knight Riders,M Chinnaswamy Stadium,2007,223,1,9,1,214,107,9.0,12.0,0
Royal Challengers Bangalore,Kolkata Knight Riders,M Chinnaswamy Stadium,2007,223,2,12,2,211,100,6.0,12.66,0
Royal Challengers Bangalore,Kolkata Knight Riders,M Chinnaswamy Stadium,2007,223,3,16,2,207,94,5.33,13.21,0
Royal Challengers Bangalore,Kolkata Knight Riders,M Chinnaswamy Stadium,2007,223,4,24,3,199,88,6.0,13.57,0
Royal Challengers Bangalore,Kolkata Knight Riders,M Chinnaswamy Stadium,2007,223,5,26,4,197,82,5.2,14.41,0
Royal Challengers Bangalore,Kolkata Knight Riders,M Chinnaswamy Stadium,2007,223,6,33,4,190,74,5.5,15.41,0
Royal Challengers Bangalore,Kolkata Knight Riders,M Chinnaswamy Stadium,2007,223,7,38,5,185,68,5.43,16.32,0
Royal Challengers Bangalore,Kolkata Knight Riders,M Chinnaswamy Stadium,2007,223,8,43,7,180,60,5.38,18.0,0
Royal Challengers Bangalore,Kolkata Knight Riders,M Chinnaswamy Stadium,2007,223,9,51,7,172,53,5.67,19.47,0
Royal Challengers Bangalore,Kolkata Knight Riders,M Chinnaswamy Stadium,2007,223,10,56,7,167,47,5.6,21.32,0
Royal Challengers Bangalore,Kolkata Knight Riders,M Chinnaswamy Stadium,2007,223,11,59,8,164,41,5.36,24.0,0
Royal Challengers Bangalore,Kolkata Knight Riders,M Chinnaswamy Stadium,2007,223,12,70,8,153,34,5.83,27.0,0
Royal Challengers Bangalore,Kolkata Knight Riders,M Chinnaswamy Stadium,2007,223,13,77,9,146,28,5.92,31.29,0
Royal Challengers Bangalore,Kolkata Knight Riders,M Chinnaswamy Stadium,2007,223,14,81,9,142,21,5.79,40.57,0
Royal Challengers Bangalore,Kolkata Knight Riders,M Chinnaswamy Stadium,2007,223,15,82,10,141,19,5.47,44.53,0
Royal Challengers Bangalore,Kolkata Knight Riders,M Chinnaswamy Stadium,2007,223,16,82,10,141,19,5.12,44.53,0
Royal Challengers Bangalore,Kolkata Knight Riders,M Chinnaswamy Stadium,2007,223,17,82,10,141,19,4.82,44.53,0
Royal Challengers Bangalore,Kolkata Knight Riders,M Chinnaswamy Stadium,2007,223,18,82,10,141,19,4.56,44.53,0
Royal Challengers Bangalore,Kolkata Knight Riders,M Chinnaswamy Stadium,2007,223,19,82,10,141,19,4.32,44.53,0
Royal Challengers Bangalore,Kolkata Knight Riders,M Chinnaswamy Stadium,2007,223,20,82,10,141,19,4.1,44.53,0
Punjab Kings,Chennai Super Kings,"Punjab Cricket Association Stadium, Mohali",2007,241,1,16,0,225,108,16.0,12.5,0
Punjab Kings,Chennai Super Kings,"Punjab Cricket Association Stadium, Mohali",2007,241,2,27,0,214,102,13.5,12.59,0
Punjab Kings,Chennai Super Kings,"Punjab Cricket Association Stadium, Mohali",2007,241,3,37,0,204,96,12.33,12.75,0
Punjab Kings,Chennai Super Kings,"Punjab Cricket Association Stadium, Mohali",2007,241,4,47,0,194,90,11.75,12.93,0
Punjab Kings,Chennai Super Kings,"Punjab Cricket Association Stadium, Mohali",2007,241,5,63,1,178,82,12.6,13.02,0
Punjab Kings,Chennai Super Kings,"Punjab Cricket Association Stadium, Mohali",2007,241,6,69,1,172,76,11.5,13.58,0
Punjab Kings,Chennai Super Kings,"Punjab Cricket Association Stadium, Mohali",2007,241,7,84,1,157,70,12.0,13.46,0
Punjab Kings,Chennai Super Kings,"Punjab Cricket Association Stadium, Mohali",2007,241,8,97,1,144,63,12.12,13.71,0
Punjab Kings,Chennai Super Kings,"Punjab Cricket Association Stadium, Mohali",2007,241,9,110,1,131,57,12.22,13.79,0
Punjab Kings,Chennai Super Kings,"Punjab Cricket Association Stadium, Mohali",2007,241,10,115,2,126,51,11.5,14.82,0
Punjab Kings,Chennai Super Kings,"Punjab Cricket Association Stadium, Mohali",2007,241,11,127,2,114,45,11.55,15.2,0
Punjab Kings,Chennai Super Kings,"Punjab Cricket Association Stadium, Mohali",2007,241,12,141,2,100,39,11.75,15.38,0
Punjab Kings,Chennai Super Kings,"Punjab Cricket Association Stadium, Mohali",2007,241,13,152,2,89,32,11.69,16.69,0
Punjab Kings,Chennai Super Kings,"Punjab Cricket Association Stadium, Mohali",2007,241,14,165,3,76,26,11.79,17.54,0
Punjab Kings,Chennai Super Kings,"Punjab Cricket Association Stadium, Mohali",2007,241,15,176,3,65,20,11.73,19.5,0
Punjab Kings,Chennai Super Kings,"Punjab Cricket Association Stadium, Mohali",2007,241,16,186,3,55,14,11.62,23.57,0
Punjab Kings,Chennai Super Kings,"Punjab Cricket Association Stadium, Mohali",2007,241,17,191,4,50,8,11.24,37.5,0
Punjab Kings,Chennai Super Kings,"Punjab Cricket Association Stadium, Mohali",2007,241,18,198,4,43,2,11.0,129.0,0
Delhi Capitals,Rajasthan Royals,Feroz Shah Kotla,2007,130,1,21,1,109,107,21.0,6.11,1
Delhi Capitals,Rajasthan Royals,Feroz Shah Kotla,2007,130,2,26,1,104,101,13.0,6.18,1
Delhi Capitals,Rajasthan Royals,Feroz Shah Kotla,2007,130,3,36,1,94,95,12.0,5.94,1
Delhi Capitals,Rajasthan Royals,Feroz Shah Kotla,2007,130,4,48,1,82,89,12.0,5.53,1
Delhi Capitals,Rajasthan Royals,Feroz Shah Kotla,2007,130,5,55,1,75,82,11.0,5.49,1
Delhi Capitals,Rajasthan Royals,Feroz Shah Kotla,2007,130,6,59,1,71,76,9.83,5.61,1
Delhi Capitals,Rajasthan Royals,Feroz Shah Kotla,2007,130,7,71,1,59,69,10.14,5.13,1
Delhi Capitals,Rajasthan Royals,Feroz Shah Kotla,2007,130,8,78,1,52,63,9.75,4.95,1
Delhi Capitals,Rajasthan Royals,Feroz Shah Kotla,2007,130,9,86,1,44,56,9.56,4.71,1
Delhi Capitals,Rajasthan Royals,Feroz Shah Kotla,2007,130,10,95,1,35,50,9.5,4.2,1
Delhi Capitals,Rajasthan Royals,Feroz Shah Kotla,2007,130,11,100,1,30,44,9.09,4.09,1
Delhi Capitals,Rajasthan Royals,Feroz Shah Kotla,2007,130,12,111,1,19,37,9.25,3.08,1
Delhi Capitals,Rajasthan Royals,Feroz Shah Kotla,2007,130,13,115,1,15,31,8.85,2.9,1
Delhi Capitals,Rajasthan Royals,Feroz Shah Kotla,2007,130,14,128,1,2,24,9.14,0.5,1
Royal Challengers Bangalore,Mumbai Indians,Wankhede Stadium,2007,166,1,11,0,155,108,11.0,8.61,1
Royal Challengers Bangalore,Mumbai Indians,Wankhede Stadium,2007,166,2,22,0,144,102,11.0,8.47,1
Royal Challengers Bangalore,Mumbai Indians,Wankhede Stadium,2007,166,3,27,0,139,96,9.0,8.69,1
Royal Challengers Bangalore,Mumbai Indians,Wankhede Stadium,2007,166,4,37,1,129,89,9.25,8.7,1
Royal Challengers Bangalore,Mumbai Indians,Wankhede Stadium,2007,166,5,40,1,126,83,8.0,9.11,1
Royal Challengers Bangalore,Mumbai Indians,Wankhede Stadium,2007,166,6,46,1,120,77,7.67,9.35,1
Royal Challengers Bangalore,Mumbai Indians,Wankhede Stadium,2007,166,7,54,1,112,71,7.71,9.46,1
Royal Challengers Bangalore,Mumbai Indians,Wankhede Stadium,2007,166,8,69,2,97,64,8.62,9.09,1
Royal Challengers Bangalore,Mumbai Indians,Wankhede Stadium,2007,166,9,76,3,90,58,8.44,9.31,1
Royal Challengers Bangalore,Mumbai Indians,Wankhede Stadium,2007,166,10,80,3,86,52,8.0,9.92,1
Royal Challengers Bangalore,Mumbai Indians,Wankhede Stadium,2007,166,11,94,3,72,46,8.55,9.39,1
